,y,Coal,Oil,Gas,Hydro,Solar PV,Wind,Biomass,Geothermal,power_trade
0,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2023.0,0.0,16.52,567.6400000000001,191.54000000000002,0.75,28.119999999999997,5.3100000000000005,16.03,0.0
9,2024.0,0.0,15.39,612.5799999999999,223.72,2.41,30.82,5.0,22.73,0.0
10,2025.0,80.04,14.429999999999998,635.48,275.02000000000004,4.07,33.53,3.12,28.09,0.0
11,2026.0,160.08,13.459999999999997,564.93,285.61000000000007,5.720000000000001,36.23,2.05,28.08,-4.440892098500626e-16
12,2027.0,160.08,12.489999999999998,580.9300000000001,289.2300000000001,7.53,39.29,2.5,28.07,-8.881784197001252e-16
13,2028.0,160.08,11.53,586.51,298.89,10.559999999999999,49.41,2.19,28.06,0.0
14,2029.0,160.08,11.469999999999999,599.62,299.15,18.41,55.349999999999994,1.88,28.05,0.0
15,2030.0,160.08,9.61,609.0899999999999,324.88000000000005,25.27,58.050000000000004,1.56,28.04,0.0
16,2031.0,160.08,8.649999999999999,640.81,324.88000000000005,54.43000000000001,67.97,1.2400000000000002,28.03,0.0
17,2032.0,160.08,11.989999999999998,674.16,324.88000000000005,77.19,78.78999999999999,0.9299999999999999,29.09,0.0
18,2033.0,160.08,18.200000000000003,707.09,324.88000000000005,90.22,96.71000000000001,0.6200000000000001,31.76,0.0
19,2034.0,186.76,23.410000000000004,714.84,324.88000000000005,103.25999999999999,115.53,0.31000000000000005,34.43,0.0
20,2035.0,213.44,22.97,723.1,324.88000000000005,100.56,150.01999999999998,0.0,34.42,0.0
21,2036.0,240.12,21.62,726.9,331.55,110.3,177.33,0.0,37.09,0.0
22,2037.0,266.79,20.220000000000002,742.58,330.28,114.53999999999999,209.07,0.0,38.69,0.0
23,2038.0,293.47,18.85,758.56,335.96000000000004,123.45,232.76000000000002,0.0,38.68,-4.440892098500626e-16
24,2039.0,320.15,17.19,773.0500000000001,337.5,138.7,258.18,0.0,38.660000000000004,0.0
25,2040.0,346.83,6.74,797.9899999999999,338.37,156.31,283.15,0.0,38.65,0.0
26,2041.0,360.17,0.0,833.74,338.98,182.2,300.17,0.0,38.64,0.0
27,2042.0,373.51,0.0,861.9800000000001,338.85,200.87,327.15,0.0,38.63,0.0
28,2043.0,386.85,0.0,892.3299999999999,338.90999999999997,223.44000000000003,349.2,0.0,38.62,0.0
29,2044.0,400.19,0.0,919.58,338.90999999999997,246.74,375.87,0.0,38.61,0.0
30,2045.0,413.53,0.0,946.3100000000001,339.08,269.59,408.71000000000004,0.0,35.38,0.0
31,2046.0,415.5,0.0,995.8399999999999,335.1,301.16,427.19,0.0,30.82,-4.440892098500626e-16
32,2047.0,415.46999999999997,0.0,1044.64,333.27,338.47,440.53,0.0,28.14,4.440892098500626e-16
33,2048.0,463.18,0.0,1037.74,330.12,371.71,465.98,0.0,22.78,0.4800000000000013
34,2049.0,476.52,0.0,1085.87,330.26,400.69,489.89000000000004,0.0,16.080000000000002,0.0
35,2050.0,489.86,0.0,1122.55,328.38,440.16,510.52,0.0,10.72,-2.220446049250313e-16
36,2051.0,503.26,0.0,1163.38,326.62,469.65999999999997,518.16,0.0,10.72,0.0
37,2052.0,516.5600000000001,0.0,1206.5600000000002,325.38,501.48999999999995,523.45,0.0,10.72,4.440892098500626e-16
38,2053.0,533.67,0.0,1250.9699999999998,322.32000000000005,532.3299999999999,529.5,0.0,10.72,0.0
39,2054.0,551.5600000000001,0.0,1299.1,321.97,558.8199999999999,536.22,0.0,10.72,0.0
40,2055.0,512.17,0.0,1435.26,319.75,556.28,546.1099999999999,0.0,10.72,0.0
41,2056.0,476.17,0.0,1541.9800000000002,316.09,584.8199999999999,555.9,0.0,10.72,0.0
42,2057.0,524.73,0.0,1572.66,315.94,611.91,559.25,0.0,10.72,-8.881784197001252e-16
43,2058.0,570.38,0.0,1612.46,314.46000000000004,643.38,556.64,0.0,10.72,-4.440892098500626e-16
44,2059.0,610.59,0.0,1649.79,312.74,684.25,557.0799999999999,0.0,10.72,0.0
45,2060.0,652.76,0.0,1680.6299999999999,309.44000000000005,722.1800000000001,571.11,0.0,10.72,0.0
46,2061.0,668.74,0.0,1744.53,308.7,753.4899999999999,573.25,0.0,10.72,0.0
47,2062.0,685.92,0.0,1809.1699999999998,308.27,785.15,576.53,0.0,10.72,0.0
48,2063.0,704.0,0.0,1880.46,307.79,811.4300000000001,581.49,0.0,10.72,0.0
49,2064.0,723.03,0.0,1949.2,307.44,838.13,592.04,0.0,10.72,0.0
50,2065.0,750.37,0.0,2022.09,299.09000000000003,864.8800000000001,600.23,0.0,10.72,0.0
51,2066.0,770.26,0.0,2087.89,295.49,879.55,637.37,0.0,10.72,0.0
52,2067.0,789.9,0.0,2158.1099999999997,294.26,897.0999999999999,669.63,0.0,10.72,8.881784197001252e-16
53,2068.0,814.25,0.0,2229.5,290.7,915.2299999999999,701.73,0.0,10.72,8.881784197001252e-16
54,2069.0,840.4799999999999,0.0,2303.5,283.02,938.99,734.63,0.0,10.72,0.0
55,2070.0,871.49,0.0,2384.37,270.5,952.1500000000001,775.27,0.0,10.72,0.0
