,y,CO2
0,2015,236.20110000000003
1,2016,237.0401
2,2017,234.4007
3,2018,235.78640000000001
4,2019,240.22480000000002
5,2020,213.30249999999998
6,2021,225.7913
7,2022,228.8179
8,2023,221.0528
9,2024,219.3869
10,2025,259.6183
11,2026,260.0071
12,2027,262.8589
13,2028,266.30679999999995
14,2029,232.7929
15,2030,236.5067
16,2031,232.9668
17,2032,230.2488
18,2033,229.4721
19,2034,226.41840000000002
20,2035,223.06550000000001
21,2036,220.0565
22,2037,221.6528
23,2038,228.6888
24,2039,231.2979
25,2040,235.90789999999998
26,2041,229.15380000000002
27,2042,221.7735
28,2043,214.2859
29,2044,207.0632
30,2045,201.8631
31,2046,198.0157
32,2047,192.6002
33,2048,185.5398
34,2049,180.22519999999997
35,2050,175.5785
36,2051,170.7777
37,2052,164.66310000000001
38,2053,159.0536
39,2054,153.758
40,2055,148.4327
41,2056,142.97369999999998
42,2057,138.3664
43,2058,134.57459999999998
44,2059,131.5488
45,2060,127.0963
46,2061,123.14970000000001
47,2062,119.5158
48,2063,116.08999999999999
49,2064,112.7506
50,2065,108.7637
51,2066,102.9999
52,2067,102.98989999999999
53,2068,100.8197
54,2069,95.88080000000001
55,2070,90.64680000000001
